tableID,paiJuId,gameCoins
326696982,1746750,2400.0
326696982,1875247,6000.0
326696982,1249957,-600.0
326696982,1586534,6000.0
326696982,2400054,5744.0
326696982,1074425,-2400.0
326696982,2389855,-3600.0
326696982,2076959,-3600.0
326696982,908216,-1200.0
326696982,1215906,-1200.0
326696982,20284,-1200.0
326696982,3357300,6164.0
326696982,934414,-2400.0
326696982,1045756,-17083.0
326696982,839497,4092.0
326696982,1454289,-5868.0
326696982,2770730,4800.0
326696982,1914861,-3000.0
326696982,765390,5109.0
326696982,1034415,1200.0
326696982,2088328,-1200.0
326696982,2499465,8048.0
326696982,3192369,1200.0
326696982,891397,-7200.0
326696982,646890,-2400.0
326696982,1830626,12000.0
326696982,1138185,-6600.0
326696982,4054219,-7200.0
326696982,1654481,1200.0
326696982,1669885,-11689.0
326696982,4347748,3600.0
326696982,4109945,-7200.0
326696982,1770095,6000.0
326696982,789488,7628.0
326696982,45846,-1200.0
326696982,2990603,2992.0
326696982,977177,-600.0
326696982,1631613,-2400.0
326696982,1578843,14400.0
326696982,2508554,3830.0
326696982,4197287,-5400.0
326696982,4331614,10900.0
326696982,1394309,3600.0
326696982,2911594,-4800.0
326696982,1571053,-2400.0
326696982,2065249,3600.0
326696982,1132936,9600.0
326696982,2211019,3600.0
326696982,2600697,2400.0
326696982,2485297,3600.0
326696982,3004037,-4800.0
326696982,1909828,-9600.0
326696982,2049907,-1200.0
326696982,1122094,2400.0
326696982,2795657,6520.0
326696982,3206459,-15600.0
326696982,1893793,4800.0
326696982,3621957,-7200.0
326696982,666000,4800.0
326696982,3509438,3244.0
326696982,1942798,9146.0
326696982,745744,3964.0
326696982,2970101,6000.0
326696982,2954946,2400.0
326696982,4416311,-4800.0
326696982,1192488,12000.0
326696982,2437596,6000.0
326696982,1791282,5660.0
326696982,681261,3600.0
326696982,711000,6000.0
326696982,3649850,-14400.0
326696982,4302642,-9600.0
326696982,549763,6000.0
326696982,1954756,5125.0
326696982,2648002,2400.0
326696982,2351710,8400.0
326696982,3730319,2400.0
326696982,3120219,-9600.0
326696982,1620851,-7200.0
326696982,3178831,8400.0
326696982,52775,630.0
326696982,23597,4090.0
326696982,2859332,-6000.0
326696982,80433,9600.0
326696982,2214686,4800.0
326696982,535577,6000.0
326696982,1328112,-4800.0
326696982,1756762,7200.0
326696982,1418769,-1200.0
326696982,111544,4800.0
326696982,1038790,-6000.0
326696982,1125123,-8404.0
326696982,1971165,1200.0
326696982,660057,1200.0
326696982,995149,3600.0
326696982,1437858,2400.0
326696982,1590862,-12000.0
326696982,1555052,-1200.0
326696982,32821,-2400.0
326696982,73276,-2400.0
326696982,1243807,10800.0
326696982,2870884,8400.0
326696982,4299368,3600.0
326696982,588585,6616.0
326696982,616041,1998.0
326696982,4355373,3600.0
326696982,1716517,-7540.0
