match_key,game_id,start_time,end_time,user_logs
mahjong|0|6|91120582229229569,mahjong,1559817639,1559817909,"[{""uid"":{""$numberLong"":""1000705""},""score"":{""$numberLong"":""16""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""531259680""},""score"":{""$numberLong"":""64""},""result"":{""$numberLong"":""1""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""337729368""},""score"":{""$numberLong"":""16""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""476236356""},""score"":{""$numberLong"":""32""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]}]"
mahjong|0|6|91120938787012609,mahjong,1559817724,1559817983,"[{""uid"":{""$numberLong"":""445878660""},""score"":{""$numberLong"":""2""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""268798977""},""score"":{""$numberLong"":""12""},""result"":{""$numberLong"":""1""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""368087064""},""score"":{""$numberLong"":""2""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""333934656""},""score"":{""$numberLong"":""8""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]}]"
mahjong|0|6|91120582229229569,mahjong,1559817919,1559818082,"[{""uid"":{""$numberLong"":""1000705""},""score"":{""$numberLong"":""4""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""337729368""},""score"":{""$numberLong"":""12""},""result"":{""$numberLong"":""1""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""531259680""},""score"":{""$numberLong"":""4""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""476236356""},""score"":{""$numberLong"":""4""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]}]"
mahjong|0|6|91120938787012609,mahjong,1559817993,1559818135,"[{""uid"":{""$numberLong"":""333934656""},""score"":{""$numberLong"":""16""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""268798977""},""score"":{""$numberLong"":""8""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""368087064""},""score"":{""$numberLong"":""40""},""result"":{""$numberLong"":""1""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""445878660""},""score"":{""$numberLong"":""16""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]}]"
mahjong|0|6|91120582229229569,mahjong,1559818093,1559818158,"[{""uid"":{""$numberLong"":""1000705""},""score"":{""$numberLong"":""64""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""337729368""},""score"":{""$numberLong"":""160""},""result"":{""$numberLong"":""1""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""531259680""},""score"":{""$numberLong"":""32""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""476236356""},""score"":{""$numberLong"":""64""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]}]"
mahjong|1|232|372|0,mahjong,1559817830,1559818282,"[{""uid"":{""$numberLong"":""5377""},""score"":{""$numberLong"":""0""},""result"":{""$numberLong"":""3""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""1007105""},""score"":{""$numberLong"":""0""},""result"":{""$numberLong"":""3""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""1025""},""score"":{""$numberLong"":""0""},""result"":{""$numberLong"":""3""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""257""},""score"":{""$numberLong"":""0""},""result"":{""$numberLong"":""3""},""role"":{""$numberLong"":""1""},""tags"":[]}]"
mahjong|0|6|91120938787012609,mahjong,1559818145,1559818381,"[{""uid"":{""$numberLong"":""445878660""},""score"":{""$numberLong"":""0""},""result"":{""$numberLong"":""3""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""268798977""},""score"":{""$numberLong"":""0""},""result"":{""$numberLong"":""3""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""368087064""},""score"":{""$numberLong"":""0""},""result"":{""$numberLong"":""3""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""333934656""},""score"":{""$numberLong"":""0""},""result"":{""$numberLong"":""3""},""role"":{""$numberLong"":""1""},""tags"":[]}]"
mahjong|0|6|91123749494980609,mahjong,1559818394,1559818522,"[{""uid"":{""$numberLong"":""296987433""},""score"":{""$numberLong"":""2""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""303576960""},""score"":{""$numberLong"":""4""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""268798977""},""score"":{""$numberLong"":""10""},""result"":{""$numberLong"":""1""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""268527093""},""score"":{""$numberLong"":""4""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]}]"
mahjong|1|232|372|0,mahjong,1559818287,1559818549,"[{""uid"":{""$numberLong"":""257""},""score"":{""$numberLong"":""4""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""5377""},""score"":{""$numberLong"":""16""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""1025""},""score"":{""$numberLong"":""22""},""result"":{""$numberLong"":""1""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""1007105""},""score"":{""$numberLong"":""2""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]}]"
mahjong|0|6|91123896295620609,mahjong,1559818429,1559818584,"[{""uid"":{""$numberLong"":""316858452""},""score"":{""$numberLong"":""2""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""417418320""},""score"":{""$numberLong"":""4""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""1016833""},""score"":{""$numberLong"":""4""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""293192721""},""score"":{""$numberLong"":""10""},""result"":{""$numberLong"":""1""},""role"":{""$numberLong"":""1""},""tags"":[]}]"
mahjong|0|6|91123749494980609,mahjong,1559818532,1559818688,"[{""uid"":{""$numberLong"":""268798977""},""score"":{""$numberLong"":""64""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""303576960""},""score"":{""$numberLong"":""256""},""result"":{""$numberLong"":""1""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""268527093""},""score"":{""$numberLong"":""64""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""296987433""},""score"":{""$numberLong"":""128""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]}]"
mahjong|0|6|91123896295620609,mahjong,1559818594,1559818742,"[{""uid"":{""$numberLong"":""1016833""},""score"":{""$numberLong"":""12""},""result"":{""$numberLong"":""1""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""316858452""},""score"":{""$numberLong"":""2""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""417418320""},""score"":{""$numberLong"":""8""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]},{""uid"":{""$numberLong"":""293192721""},""score"":{""$numberLong"":""2""},""result"":{""$numberLong"":""2""},""role"":{""$numberLong"":""1""},""tags"":[]}]"
